zone_id,retail_jobs,workplace_population
Z01,11237,80803
Z02,3514,30865
Z03,3599,24419
Z04,4167,33565
Z05,7164,46385
Z06,3060,22422
Z07,7978,23075
Z08,3388,27026
Z09,4823,27649
Z10,4756,29546
Z11,4089,24532
Z12,3602,25785
Z13,6186,35863
Z14,7823,49519
Z15,4870,40707
